,period,year,month,total_rainfall,no_of_rainy_days,mean_temp,mean_sunshine_hrs,mean_rh,maximum_rainfall_in_a_day,wet_bulb_temperature,RSI(sales_value)
0,1985-01,1985,1,111.1,7,26.6,8.7,81.5,35.5,24.410618279569892,30.7
1,1985-02,1985,2,79.3,11,27.0,6.5,84.0,18.7,24.945089285714282,31.6
2,1985-03,1985,3,88.0,13,27.1,5.6,83.9,23.8,24.97728494623656,30.8
3,1985-04,1985,4,110.5,14,27.5,5.5,83.8,29.3,25.096527777777776,24.5
4,1985-05,1985,5,70.1,12,28.0,5.7,83.4,36.2,25.378763440860215,25.4
5,1985-06,1985,6,37.0,14,28.2,5.8,79.4,9.9,25.023194444444446,23.7
6,1985-07,1985,7,131.8,17,27.0,5.3,83.1,32.2,24.725806451612904,23.8
7,1985-08,1985,8,56.9,11,27.7,6.2,80.4,21.4,25.1125,24.1
8,1985-09,1985,9,110.7,18,26.9,5.0,83.1,22.0,24.708055555555553,24.4
9,1985-10,1985,10,169.0,21,26.7,4.1,84.7,30.2,24.822849462365593,23.6
10,1985-11,1985,11,179.4,21,26.6,4.1,85.0,38.2,24.66347222222222,24.4
11,1985-12,1985,12,340.1,22,26.1,4.6,86.2,86.8,24.415188172043013,24.0
12,1986-01,1986,1,308.2,13,25.7,3.9,83.9,95.6,23.948252688172044,24.0
13,1986-02,1986,2,26.7,2,26.9,7.2,78.4,23.0,24.439732142857142,25.5
14,1986-03,1986,3,353.4,17,26.4,4.6,86.6,71.1,24.927150537634407,22.8
15,1986-04,1986,4,150.0,14,27.4,6.2,85.3,56.4,25.16361111111111,22.2
16,1986-05,1986,5,145.1,13,28.2,6.1,81.8,51.3,25.340725806451612,22.2
17,1986-06,1986,6,122.9,13,27.9,6.8,82.5,34.5,25.294166666666666,22.3
18,1986-07,1986,7,109.7,12,27.9,6.2,79.9,23.5,24.982526881720432,23.1
19,1986-08,1986,8,72.9,11,28.3,5.6,77.3,28.4,25.020026881720433,22.7
20,1986-09,1986,9,396.0,22,26.7,4.8,84.4,97.6,24.731527777777778,22.6
21,1986-10,1986,10,227.3,20,26.9,5.0,85.0,65.6,24.95456989247312,22.7
22,1986-11,1986,11,256.7,21,26.6,4.5,84.1,40.5,24.596805555555555,22.9
23,1986-12,1986,12,367.2,16,26.3,5.4,85.2,131.7,24.26827956989247,23.6
24,1987-01,1987,1,568.6,16,25.5,4.0,86.0,127.4,24.168413978494623,23.9
25,1987-02,1987,2,86.9,7,26.6,9.2,79.0,34.8,24.487499999999997,25.0
26,1987-03,1987,3,132.5,12,27.5,6.9,83.2,40.9,25.1252688172043,26.4
27,1987-04,1987,4,72.5,10,27.9,6.2,82.8,27.7,25.21527777777778,27.8
28,1987-05,1987,5,270.0,16,27.6,5.6,84.6,81.4,25.373790322580643,28.2
29,1987-06,1987,6,126.6,15,28.7,6.8,80.7,30.7,25.595833333333335,29.8
30,1987-07,1987,7,80.9,11,28.1,6.7,81.3,21.6,25.34556451612903,29.8
31,1987-08,1987,8,191.9,16,27.4,5.1,83.6,48.2,25.30524193548387,29.7
32,1987-09,1987,9,129.9,11,27.6,5.4,82.5,44.5,25.0975,30.2
33,1987-10,1987,10,22.6,9,27.9,5.8,82.1,5.9,25.330913978494625,30.2
34,1987-11,1987,11,347.6,17,27.3,4.5,84.0,77.7,25.06625,32.0
35,1987-12,1987,12,72.8,11,26.4,4.8,84.6,24.3,24.60793010752688,29.7
36,1988-01,1988,1,237.5,15,26.8,5.9,84.3,69.0,24.856989247311827,31.9
37,1988-02,1988,2,158.1,9,27.1,6.7,83.2,46.7,25.004310344827587,31.7
38,1988-03,1988,3,186.8,15,27.3,5.2,85.3,70.1,25.323521505376345,32.1
39,1988-04,1988,4,109.6,13,27.8,5.4,84.5,22.8,25.448749999999997,33.0
40,1988-05,1988,5,229.6,14,28.4,5.6,82.7,76.7,25.65793010752688,34.6
41,1988-06,1988,6,252.2,13,28.0,6.5,81.6,69.4,25.218333333333334,34.7
42,1988-07,1988,7,305.4,15,27.3,6.0,84.0,75.6,25.31290322580645,35.3
43,1988-08,1988,8,80.1,14,27.0,4.9,84.9,19.0,24.89005376344086,36.8
44,1988-09,1988,9,440.4,14,27.1,4.8,84.5,187.3,25.153750000000002,37.7
45,1988-10,1988,10,134.6,17,27.5,4.1,83.2,39.8,25.12271505376344,39.9
46,1988-11,1988,11,401.4,23,26.3,3.7,86.8,111.9,24.59597222222222,38.1
47,1988-12,1988,12,62.9,11,26.2,5.7,81.1,22.0,24.1369623655914,41.7
48,1989-01,1989,1,189.7,10,26.5,5.8,84.1,53.0,24.488172043010753,37.3
